description,family_pk,id,iso_code,jsondata,latitude,longitude,macroarea,markup_description,name,pk,representation,vol
,6,lsi52Indo-Aryan-Eastern Maithili,mai,{},26.3817,86.2211,Eurasia,,Eastern Maithili,122,216,1
,6,lsi51Indo-Aryan-Eastern Malda,ben,{},25.077801,87.898448,Eurasia,,Eastern Malda,234,216,1
,7,lsi31Tibeto-Burman-Eastern Tamang -Murmi,taj,{},27.3239,87.0832,Eurasia,,Eastern Tamang -Murmi,13,72,1
,7,lsi31Tibeto-Burman-Eastern Tamang-Magari,mgp,{},27.4135,87.0617,Eurasia,,Eastern Tamang-Magari,102,72,1
,7,lsi33Tibeto-Burman-Fallam Chin,cfm,{},23.7893,92.3255,Eurasia,,Fallam Chin,72,72,1
,6,lsi94Indo-Aryan-Gaddi,gbk,{},32.36,76.57,Eurasia,,Gaddi,36,72,1
,6,lsi94Indo-Aryan-Garhwali,gbm,{},30.5061,78.7201,Eurasia,,Garhwali,64,288,1
,7,lsi32Tibeto-Burman-Garo,grt,{},26.7255,89.3332,Eurasia,,Garo,178,72,1
,6,lsi82Indo-Aryan-Gawar-Bati,gwt,{},35.1982,71.5428,Eurasia,,Gawar-Bati,42,72,1
,6,lsi82Indo-Aryan-Gilgiti,scl,{},34.65,75.29,Eurasia,,Gilgiti,193,288,1
,6,lsi94Indo-Aryan-Giripari,srx,{},30.56029,77.29426,Eurasia,,Giripari,25,144,1
,6,lsi71Indo-Aryan-Goan Konkani,gom,{},19.2414,73.9166,Eurasia,,Goan Konkani,4,288,1
,6,lsi92Indo-Aryan-Gujarati,guj,{},22.69,71.1,Eurasia,,Gujarati,51,288,1
,6,lsi82Indo-Aryan-Gurezi,scl,{},34.65584,74.774573,Eurasia,,Gurezi,77,288,1
,7,lsi31Tibeto-Burman-Gurung,gvr,{},27.3,88.16,Eurasia,,Gurung,87,72,1
,5,lsi41Munda-Gutob,pcj,{},19.1213,84.19,Eurasia,,Gutob,189,72,1
,7,lsi31Tibeto-Burman-Ha (Bhutan),dzo,{},27.41,89.58,Eurasia,,Ha (Bhutan),9,72,1
,6,lsi51Indo-Aryan-Hajong,haj,{},25.51,89.86,Eurasia,,Hajong,43,72,1
,7,lsi33Tibeto-Burman-Haka Chin,cnh,{},22.8735,92.8208,Eurasia,,Haka Chin,116,72,1
,6,lsi71Indo-Aryan-Halbi,hlb,{},21.0,81.0,Eurasia,,Halbi,185,72,1
,6,lsi91Indo-Aryan-Hindi,hin,{},25.0,77.0,Eurasia,,Hindi,149,72,1
,7,lsi33Tibeto-Burman-Hmar,hmr,{},24.75,93.55,Eurasia,,Hmar,70,72,1
,5,lsi41Munda-Ho,hoc,{},23.96,87.12,Eurasia,,Ho,207,72,1
,7,lsi33Tibeto-Burman-Hrangkhol,hra,{},24.46,93.35,Eurasia,,Hrangkhol,118,72,1
,,lsi31Tibeto-Burman-Hruso,hru,{},27.27,92.63,Eurasia,,Hruso,19,72,1
,6,lsi82Indo-Aryan-Indus Kohistani,mvy,{},35.3539615,72.6851504,Eurasia,,Indus Kohistani,57,72,1
,6,lsi94Indo-Aryan-Inner Siraji,kfx,{},31.58,77.06,Eurasia,,Inner Siraji,75,288,1
,6,lsi94Indo-Aryan-Jaunsari,jns,{},30.5587,77.9084,Eurasia,,Jaunsari,160,72,1
,5,lsi41Munda-Juang,jun,{},22.3571,84.3922,Eurasia,,Juang,233,72,1
,6,lsi81Indo-Aryan-Kacchi,kfr,{},25.0115052,66.7844969,Eurasia,,Kacchi,239,72,1
,7,lsi32Tibeto-Burman-Kachari,xac,{},26.69,92.32,Eurasia,,Kachari,220,144,1
,7,lsi31Tibeto-Burman-Kagate,syw,{},27.3,88.16,Eurasia,,Kagate,133,72,1
,8,lsi41Dravidian-Kaikadi,kep,{},18.39,76.0,Eurasia,,Kaikadi,29,72,1
,6,lsi82Indo-Aryan-Kalami,gwc,{},35.53,72.57,Eurasia,,Kalami,50,72,1
,6,lsi82Indo-Aryan-Kalasha,kls,{},35.6415,71.6657,Eurasia,,Kalasha,137,72,1
,6,lsi71Indo-Aryan-Kamar,keq,{},21.230305,81.649287,Eurasia,,Kamar,170,72,1
,7,lsi31Tibeto-Burman-Kanashi,xns,{},32.0626008,77.2603548,Eurasia,,Kanashi,174,72,1
,6,lsi91Indo-Aryan-Kanauji,bjj,{},27.1074,79.2883,Eurasia,,Kanauji,40,72,1
,6,lsi91Indo-Aryan-Kangri,xnr,{},32.083983,76.19207,Eurasia,,Kangri,34,72,1
,8,lsi41Dravidian-Kannada,kan,{},13.59,76.12,Eurasia,,Kannada,156,72,1
,7,lsi32Tibeto-Burman-Karbi,mjw,{},26.3333333333,93.5,Eurasia,,Karbi,65,72,1
,6,lsi82Indo-Aryan-Kashmiri,kas,{},34.1668,74.3305,Eurasia,,Kashmiri,21,360,1
,6,lsi92Indo-Aryan-Kathiyawadi,guj,{},21.8,70.75,Eurasia,,Kathiyawadi,229,288,1
,1,lsi82Nuristani-Kati,bsh,{},35.25,70.59,,,Kati,215,72,1
,7,lsi31Tibeto-Burman-Khambu (Kulung),kle,{},27.1606,87.5717,Eurasia,,Khambu (Kulung),81,144,1
,,lsi21Tai-Kadai-Khamti,kht,{},27.67,97.04,Eurasia,,Khamti,46,72,1
,6,lsi93Indo-Aryan-Khandesi,khn,{},21.19,74.09,Eurasia,,Khandesi,213,144,1
,5,lsi41Munda-Kharia,khr,{},22.5,84.3333333333,Eurasia,,Kharia,91,72,1
,6,lsi51Indo-Aryan-Kharia Thar,ksy,{},21.9675,86.0803,Eurasia,,Kharia Thar,184,72,1
,5,lsi21Khasian-Khasi,kha,{},24.98,92.0,Eurasia,,Khasi,166,72,1
,6,lsi94Indo-Aryan-Khaspariya,kfy,{},27.52,83.33,Eurasia,,Khaspariya,179,144,1
,8,lsi41Dravidian-Khondi,kxu,{},24.8124,87.6432,Eurasia,,Khondi,93,72,1
,6,lsi82Indo-Aryan-Khowar,khw,{},36.0,72.0,Eurasia,,Khowar,162,72,1
,7,lsi33Tibeto-Burman-Khumi Chin,cnk,{},22.87,92.99,Eurasia,,Khumi Chin,86,72,1
,7,lsi31Tibeto-Burman-Kinnauri,kfk,{},31.37,78.31,Eurasia,,Kinnauri,173,72,1
,6,lsi82Indo-Aryan-Kishtawari,kas,{},33.3191469,71.2844821,Eurasia,,Kishtawari,143,360,1
,6,lsi94Indo-Aryan-Kiunthali,bfz,{},31.095709,77.177388,Eurasia,,Kiunthali,209,432,1
,7,lsi32Tibeto-Burman-Koch,kdq,{},26.159591,90.624541,Eurasia,,Koch,236,72,1
,7,lsi33Tibeto-Burman-Koireng01,nkd,{},25.117882,94.08378,Eurasia,,Koireng01,94,72,1
,7,lsi33Tibeto-Burman-Kom,kmm,{},24.8688,94.534,Eurasia,,Kom,78,72,1
,6,lsi71Indo-Aryan-Konkani-Thana,knn,{},19.215663,72.990128,Eurasia,,Konkani-Thana,47,72,1
,5,lsi41Munda-Korku,kfq,{},21.84,77.55,Eurasia,,Korku,176,72,1
,6,lsi71Indo-Aryan-Kudali,gom,{},15.995608,73.68176,Eurasia,,Kudali,169,288,1
,6,lsi94Indo-Aryan-Kullu Pahari,kfx,{},31.76954,77.303979,Eurasia,,Kullu Pahari,113,288,1
,6,lsi94Indo-Aryan-Kului,kfx,{},31.58,77.06,Eurasia,,Kului,190,288,1
,7,lsi31Tibeto-Burman-Kulung,kle,{},27.1606,87.5717,Eurasia,,Kulung,216,144,1
,6,lsi94Indo-Aryan-Kumaoni,kfy,{},29.6,79.7,Eurasia,,Kumaoni,240,144,1
,8,lsi41Dravidian-Kurux,kru,{},23.36,85.33,Eurasia,,Kurux,232,72,1
,4,lsi31Language isolate-Kusunda,kgg,{},28.0,84.6666666667,,,Kusunda,97,72,1
,7,lsi31Tibeto-Burman-Ladakhi,lbj,{},34.0843,77.3403,Eurasia,,Ladakhi,17,72,1
,7,lsi33Tibeto-Burman-Lamgang,lmk,{},24.0506,94.2806,Eurasia,,Lamgang,155,72,1
,7,lsi33Tibeto-Burman-Langrong,aim,{},24.8998373,91.826884,Eurasia,,Langrong,218,144,1
,6,lsi81Indo-Aryan-Lari,snd,{},26.0992,98.5481,Eurasia,,Lari,112,216,1
,6,lsi81Indo-Aryan-Lasi,snd,{},25.3755567,68.290068,Eurasia,,Lasi,20,216,1
,7,lsi31Tibeto-Burman-Lepcha,lep,{},27.0869,88.5726,Eurasia,,Lepcha,104,72,1
,7,lsi31Tibeto-Burman-Limbu,lif,{},27.2703,87.8859,Eurasia,,Limbu,100,72,1
,7,lsi31Tibeto-Burman-Lohorung,lbr,{},27.5102,87.2157,Eurasia,,Lohorung,119,72,1
